Time,Open,High,Low,Last,Change,Volume
03/29/19,1.122,1.12463,1.12095,1.12168,-0.00051000000000001,98588
03/28/19,1.1244,1.12609,1.12135,1.12219,-0.00213,102410
03/27/19,1.1268,1.12853,1.12423,1.12432,-0.0021800000000001,94371
03/26/19,1.1314,1.13256,1.12631,1.1265,-0.00468,86807
03/25/19,1.12871,1.13305,1.12855,1.13118,0.0012300000000001,72921
03/22/19,1.13718,1.13904,1.12751,1.12995,-0.0073700000000001,102454
03/21/19,1.1412,1.14373,1.13423,1.13732,-0.0039199999999999,86924
03/20/19,1.1352,1.1446,1.13352,1.14124,0.0061800000000001,90828
03/19/19,1.1335,1.13613,1.13334,1.13506,0.0016,62104
03/18/19,1.13211,1.13586,1.13184,1.13346,0.0010399999999999,58587
03/15/19,1.1302,1.1344,1.12975,1.13242,0.0021800000000001,75834
03/14/19,1.1327,1.13373,1.12938,1.13024,-0.00238,89626
03/13/19,1.1286,1.1338,1.12773,1.13262,0.0040899999999999,76279
03/12/19,1.1252,1.13046,1.12442,1.12853,0.0040800000000001,90631
03/11/19,1.1243,1.1258,1.12214,1.12445,0.00142,67132
03/08/19,1.1193,1.12456,1.1185,1.12303,0.0037400000000001,87000
03/07/19,1.1307,1.13198,1.11764,1.11929,-0.01133,101453
03/06/19,1.13071,1.13241,1.12883,1.13062,-9.9999999999989E-5,76855
03/05/19,1.1338,1.1342,1.12893,1.13072,-0.0032000000000001,76871
03/04/19,1.13839,1.13853,1.13089,1.13392,-0.0025899999999999,72346
03/01/19,1.137,1.14074,1.13531,1.13651,-0.00051000000000001,88308
02/28/19,1.1368,1.14192,1.136,1.13702,0.00014000000000003,100959
02/27/19,1.13879,1.14031,1.13622,1.13688,-0.0019200000000001,88686
02/26/19,1.1357,1.14022,1.13452,1.1388,0.0031700000000001,90404
02/25/19,1.13453,1.13672,1.13275,1.13563,0.0024799999999998,71250
02/22/19,1.13325,1.13553,1.13169,1.13315,-0.00032999999999994,81308
02/21/19,1.1338,1.1366,1.1322,1.13348,-0.00015999999999994,92852
02/20/19,1.134,1.13708,1.13249,1.13364,-0.0003200000000001,87073
02/19/19,1.1309,1.13569,1.12751,1.13396,0.00312,84596
02/18/19,1.12963,1.13335,1.12889,1.13084,0.0015800000000001,57502
02/15/19,1.1294,1.13061,1.1234,1.12926,-0.00019999999999998,86941
02/14/19,1.12602,1.13095,1.12492,1.12946,0.0034799999999999,98132
02/13/19,1.1325,1.13412,1.12598,1.12598,-0.0065500000000001,80304
02/12/19,1.1275,1.13394,1.12575,1.13253,0.00499,74004
02/11/19,1.13202,1.13297,1.12671,1.12754,-0.0045299999999999,69268
02/08/19,1.134,1.13506,1.13203,1.13207,-0.00177,70396
02/07/19,1.1361,1.13681,1.13245,1.13384,-0.00227,79787
02/06/19,1.1404,1.14103,1.13604,1.13611,-0.0043299999999999,75555
02/05/19,1.1437,1.14476,1.14011,1.14044,-0.0031300000000001,75703
02/04/19,1.14475,1.146,1.14244,1.14357,-0.00187,73603
02/01/19,1.14428,1.14874,1.14341,1.14544,0.00076999999999994,91353
01/31/19,1.148,1.15139,1.14359,1.14467,-0.00322,106867
01/30/19,1.143,1.15004,1.14061,1.14789,0.0047700000000002,109533
01/29/19,1.1427,1.14499,1.1411,1.14312,0.00054999999999983,103976
01/28/19,1.13999,1.14432,1.13901,1.14257,0.00177,78026
01/25/19,1.1303,1.14171,1.13,1.1408,0.01035,114254
01/24/19,1.13801,1.13912,1.12894,1.13045,-0.0075499999999999,126662
01/23/19,1.1359,1.13939,1.13509,1.138,0.0020699999999998,85149
01/22/19,1.1364,1.13731,1.13359,1.13593,-0.00050999999999979,86048
01/21/19,1.1363,1.13906,1.13567,1.13644,0.00018999999999991,65719
01/18/19,1.1389,1.14097,1.13531,1.13625,-0.00254,87501
01/17/19,1.1391,1.14056,1.13715,1.13879,-0.00034000000000001,96739
01/16/19,1.1412,1.14246,1.13777,1.13913,-0.00207,106067
01/15/19,1.1467,1.14894,1.1382,1.1412,-0.00556,127133
01/14/19,1.14521,1.14818,1.14503,1.14676,2.9999999999974E-5,92759
01/11/19,1.1498,1.15398,1.14579,1.14673,-0.0031600000000001,111660
01/10/19,1.15416,1.15695,1.1486,1.14989,-0.0042499999999999,122246
01/09/19,1.1441,1.15538,1.14352,1.15414,0.0101,125260
01/08/19,1.14733,1.14842,1.14224,1.14404,-0.00329,95945
01/07/19,1.1396,1.14822,1.13947,1.14733,0.00789,87413
01/04/19,1.1392,1.14186,1.13462,1.13944,0.00018000000000007,126307
01/03/19,1.1344,1.14095,1.13093,1.13926,0.0048999999999999,148483
01/02/19,1.1465,1.14964,1.13251,1.13436,-0.01213,118477
12/31/18,1.14398,1.14669,1.14214,1.14649,0.0023900000000001,92294
12/28/18,1.1429,1.14723,1.14261,1.1441,0.00122,111006
12/27/18,1.13785,1.14537,1.13714,1.14288,0.0072599999999998,51452
12/26/18,1.13883,1.14136,1.13434,1.13562,-0.00441,28476
12/24/18,1.13603,1.14373,1.13597,1.14003,0.0031400000000001,77902
12/21/18,1.1445,1.14737,1.13555,1.13689,-0.00762,99221
12/20/18,1.1374,1.14851,1.13699,1.14451,0.0070699999999999,104346
12/19/18,1.1361,1.14386,1.13599,1.13744,0.00146,88147
"Downloaded from Barchart.com as of 12-19-2019 10:20pm CST"
