Time,Open,High,Low,Last,Change,Volume
05/10/19,1.30041,1.30468,1.29911,1.2999,-0.00058999999999987,379939
05/09/19,1.3007,1.30353,1.29684,1.30049,-9.0000000000146E-5,116117
05/08/19,1.3076,1.30798,1.29875,1.30058,-0.00674,131977
05/07/19,1.30962,1.31302,1.30402,1.30732,-0.0022,121331
05/06/19,1.3135,1.31697,1.30811,1.30952,-0.0071699999999999,121843
05/03/19,1.3032,1.31758,1.29879,1.31669,0.01388,139802
05/02/19,1.30486,1.308,1.30182,1.30281,-0.0020499999999999,128155
05/01/19,1.303,1.31003,1.30248,1.30486,0.00186,109369
04/30/19,1.2936,1.30481,1.29226,1.303,0.0097699999999998,134895
04/29/19,1.29173,1.2946,1.29051,1.29323,0.00204,100928
04/26/19,1.2897,1.2943,1.28756,1.29119,0.0015100000000001,130442
04/25/19,1.2901,1.2916,1.28657,1.28968,-0.00019999999999998,129934
04/24/19,1.2937,1.2963,1.28886,1.28988,-0.0037100000000001,136872
04/23/19,1.29785,1.30178,1.29282,1.29359,-0.00413,120550
04/22/19,1.29874,1.29972,1.29749,1.29772,-0.00096999999999992,59112
04/19/19,1.29816,1.3008,1.29807,1.29869,0.00058999999999987,128513
04/18/19,1.30366,1.30521,1.29791,1.2981,-0.00569,150501
04/17/19,1.3048,1.30668,1.3029,1.30379,-0.00086999999999993,127772
04/16/19,1.30921,1.31008,1.30428,1.30466,-0.0046200000000001,127440
04/15/19,1.30732,1.31184,1.30692,1.30928,0.0024999999999999,102965
04/12/19,1.30496,1.31319,1.30496,1.30678,0.0017500000000001,125622
04/11/19,1.3091,1.3108,1.30502,1.30503,-0.00363,127779
04/10/19,1.30341,1.31194,1.30341,1.30866,0.0038799999999999,138011
04/09/19,1.3062,1.31197,1.30302,1.30478,-0.0011699999999999,138511
04/08/19,1.30342,1.30738,1.30211,1.30595,0.0024,118782
04/05/19,1.3077,1.31208,1.29869,1.30355,-0.00376,143200
04/04/19,1.3159,1.31906,1.306,1.30731,-0.0083599999999999,155023
04/03/19,1.3131,1.31954,1.31213,1.31567,0.00261,172827
04/02/19,1.31007,1.31487,1.30136,1.31306,0.0029199999999998,190122
04/01/19,1.30296,1.31487,1.30092,1.31014,0.0069600000000001,149529
03/29/19,1.3043,1.31348,1.29793,1.30318,-0.00085000000000002,194714
03/28/19,1.3188,1.32097,1.30367,1.30403,-0.01466,196213
03/27/19,1.3201,1.32682,1.31663,1.31869,-0.0016800000000001,189904
03/26/19,1.3197,1.32608,1.31586,1.32037,0.00087000000000015,172379
03/25/19,1.32136,1.32456,1.31599,1.3195,-0.0011700000000001,150313
03/22/19,1.3104,1.3223,1.30807,1.32067,0.01012,176020
03/21/19,1.3196,1.32266,1.30049,1.31055,-0.0087699999999999,181989
03/20/19,1.3267,1.32718,1.31464,1.31932,-0.00725,188170
03/19/19,1.32521,1.331,1.32414,1.32657,0.00126,134096
03/18/19,1.32964,1.32997,1.31851,1.32531,-0.0033000000000001,137004
03/15/19,1.3239,1.32994,1.3203,1.32861,0.0046300000000001,173665
03/14/19,1.3337,1.33371,1.32074,1.32398,-0.0095800000000001,195259
03/13/19,1.3075,1.3378,1.30552,1.33356,0.0263,187824
03/12/19,1.31462,1.32855,1.3005,1.30726,-0.00749,230152
03/11/19,1.3016,1.31697,1.29554,1.31475,0.01353,170138
03/08/19,1.3086,1.31079,1.29897,1.30122,-0.0070299999999999,154247
03/07/19,1.31674,1.31847,1.30686,1.30825,-0.0086700000000002,151302
03/06/19,1.31757,1.31803,1.31239,1.31692,-0.00073999999999996,143929
03/05/19,1.3186,1.31978,1.30979,1.31766,-0.00027999999999984,143319
03/04/19,1.32554,1.32659,1.31663,1.31794,-0.0023900000000001,123857
03/01/19,1.3262,1.32852,1.31717,1.32033,-0.0058199999999999,140205
02/28/19,1.3307,1.33191,1.32534,1.32615,-0.00467,152304
02/27/19,1.32514,1.33492,1.32328,1.33082,0.0057999999999998,168170
02/26/19,1.3116,1.32875,1.31126,1.32502,0.0153,183489
02/25/19,1.3065,1.31124,1.30501,1.30972,0.0044999999999999,126922
02/22/19,1.304,1.3078,1.29682,1.30522,0.00118,132906
02/21/19,1.3048,1.30942,1.30261,1.30404,-0.00093999999999994,141416
02/20/19,1.30596,1.31084,1.30118,1.30498,-0.00118,140605
02/19/19,1.29202,1.30724,1.28954,1.30616,0.01406,131823
02/18/19,1.29167,1.29383,1.28916,1.2921,0.00329,130907
02/15/19,1.2804,1.28968,1.27849,1.28881,0.0085599999999999,137368
02/14/19,1.2843,1.28773,1.27729,1.28025,-0.0042099999999998,152234
02/13/19,1.2891,1.29576,1.28446,1.28446,-0.0045600000000001,137748
02/12/19,1.28523,1.29089,1.28326,1.28902,0.0034100000000001,130337
02/11/19,1.29369,1.29384,1.28452,1.28561,-0.0084300000000002,128668
02/08/19,1.2952,1.29749,1.29214,1.29404,-0.00105,117336
02/07/19,1.2931,1.29957,1.28541,1.29509,0.00207,150601
02/06/19,1.2945,1.29787,1.29253,1.29302,-0.0014399999999999,125821
02/05/19,1.3038,1.30499,1.2925,1.29446,-0.00902,119297
02/04/19,1.30623,1.31024,1.30292,1.30348,-0.0044,120018
02/01/19,1.3101,1.31144,1.3043,1.30788,-0.0030000000000001,134831
01/31/19,1.3109,1.31581,1.30979,1.31088,-0.0004599999999999,151432
01/30/19,1.3067,1.31442,1.3056,1.31134,0.00475,162707
01/29/19,1.3154,1.3199,1.30567,1.30659,-0.0088700000000002,202628
01/28/19,1.31764,1.32098,1.3138,1.31546,-0.0042799999999998,133364
01/25/19,1.3063,1.32158,1.30575,1.31974,0.0135,183100
01/24/19,1.30677,1.30936,1.30118,1.30624,-0.00052999999999992,165874
01/23/19,1.2957,1.30799,1.29434,1.30677,0.01134,155387
01/22/19,1.2892,1.29748,1.28553,1.29543,0.0063800000000001,152358
01/21/19,1.2881,1.29101,1.28304,1.28905,0.0018400000000001,117004
01/18/19,1.2985,1.29925,1.28565,1.28721,-0.01122,143806
01/17/19,1.2884,1.29996,1.28326,1.29843,0.01044,163423
01/16/19,1.2859,1.28959,1.28248,1.28799,0.00213,175918
01/15/19,1.2868,1.29151,1.26759,1.28586,-0.00055999999999989,208099
01/14/19,1.28515,1.29282,1.2819,1.28642,0.0026899999999999,153938
01/11/19,1.2751,1.28653,1.27106,1.28373,0.0088200000000001,171420
01/10/19,1.2788,1.28007,1.2728,1.27491,-0.0038800000000001,162985
01/09/19,1.2719,1.28032,1.27055,1.27879,0.00709,171883
01/08/19,1.2775,1.27951,1.27063,1.2717,-0.00583,127884
01/07/19,1.27177,1.27858,1.27142,1.27753,0.00627,113609
01/04/19,1.2632,1.2744,1.26159,1.27126,0.00827,170248
01/03/19,1.2604,1.26465,1.24296,1.26299,0.00244,182838
01/02/19,1.2744,1.27723,1.25843,1.26055,-0.01499,170227
12/31/18,1.27014,1.28113,1.26761,1.27554,0.00623,125242
12/28/18,1.26406,1.27061,1.2635,1.26931,0.0051099999999999,128918
12/27/18,1.26288,1.26735,1.26211,1.2642,0.00021000000000004,72173
12/26/18,1.26822,1.26978,1.26283,1.26399,-0.0063200000000001,30046
12/24/18,1.26304,1.27368,1.26304,1.27031,0.0075499999999999,119043
12/21/18,1.26523,1.26971,1.26179,1.26276,-0.0027699999999999,166598
12/20/18,1.2607,1.2706,1.2607,1.26553,0.0047300000000001,156432
12/19/18,1.2639,1.26779,1.26074,1.2608,-0.0030000000000001,145698
"Downloaded from Barchart.com as of 12-19-2019 10:23pm CST"
